钢卷号,流向,切断时间,必做标记,计划类型,额定轧制厚度,额定轧制宽度,额定出炉温度,额定终轧温度,额定卷取温度,计划号
500000005876,,,205,2,230,850,1200,870,580,
500000005877,,,205,2,230,850,1200,870,580,
500000005878,,,205,2,230,850,1200,870,580,
500000006973,,,205,2,230,850,1180,870,620,
500000006974,,,205,2,230,850,1180,870,620,
500000006975,,,205,2,230,850,1180,870,620,
500000006976,,,205,2,230,850,1180,870,620,
500000006977,,,205,2,230,850,1180,870,620,
500000006978,,,205,2,230,850,1180,870,620,
500000006979,,,205,2,230,850,1180,870,620,
500000006980,,,205,2,230,850,1180,870,620,
500000006981,,,205,2,230,850,1180,870,620,
500000006982,,,205,2,230,850,1180,870,620,
500000006983,,,205,2,230,850,1180,870,620,
500000006984,,,205,2,230,850,1180,870,620,
500000006985,,,205,2,230,850,1180,870,620,
500000006986,,,205,2,230,850,1180,870,620,
500000006987,,,205,2,230,850,1180,870,620,
500000006988,,,205,2,230,850,1180,870,620,
500000006989,,,205,2,230,850,1180,870,620,
500000006990,,,205,2,230,850,1180,870,620,
500000006991,,,205,2,230,850,1180,870,620,
500000006992,,,205,2,230,850,1180,870,620,
500000006993,,,205,2,230,850,1180,870,620,
500000006994,,,205,2,230,850,1180,870,620,
500000006995,,,205,2,230,850,1180,870,620,
500000006996,,,205,2,230,850,1180,870,620,
500000006997,,,205,2,230,850,1180,870,620,
500000006998,,,205,2,230,850,1180,870,620,
500000006964,,,205,2,230,850,1180,870,620,
500000006965,,,205,2,230,850,1180,870,620,
500000006966,,,205,2,230,850,1180,870,620,
500000006967,,,205,2,230,850,1180,870,620,
4
500000007005,,,205,3,230,930,1180,870,620,
500000007006,,,205,3,230,930,1180,870,620,
500000007046,,,205,3,230,930,1180,870,620,
500000007787,,,205,3,230,930,1200,870,580,
500000007788,,,205,3,230,930,1200,870,580,
500000007789,,,205,3,230,930,1200,870,580,
500000007790,,,205,3,230,930,1200,870,580,
500000007791,,,205,3,230,930,1200,870,580,
500000007792,,,205,3,230,930,1200,870,580,
500000007793,,,205,3,230,930,1200,870,580,
500000007794,,,205,3,230,930,1200,870,580,
500000007795,,,205,3,230,930,1200,870,580,
500000007796,,,205,3,230,930,1200,870,580,
500000007797,,,205,3,230,930,1200,870,580,
500000006129,,,205,2,230,850,1220,850,610,
